Components;Mass(g);Center of Mass: Origin(mm);;;Center of Mass: IMU(mm);;;Joint XYZ;;;Distanec: Joint to Joint;;;;
;;x;y;z;x;y;z;x;y;z;Joint;Dist(mm);Angle;;
TC1;7,9450;85,8670;15,2000;47,4300;8,9500;19,9840;-48,6200;;;;;;;;
TC2;16,0170;80,2240;13,2320;61,9160;3,3070;18,0160;-34,1340;;;;;;;;
TC3;7,2470;77,6300;-1,1860;91,7380;0,7130;3,5980;-4,3120;;;;;;;;
TC4;3,8910;85,8670;58,8900;93,0500;8,9500;63,6740;-3,0000;;;;;;;;
BC1;8,0570;85,8670;15,2000;30,3470;8,9500;19,9840;-65,7030;69,5000;15,2000;31,5500;;;;;
BC1.2;;;;;;;;24,5040;15,2000;31,5500;;;;;
BC2;16,6120;45,5300;14,9590;26,1880;-31,3870;19,7430;-69,8620;;;;BC1,1:BC2;57,0000;x;;
BC3;12,9660;13,1300;11,7840;7,5820;-63,7870;16,5680;-88,4680;;;;BC2:BC3;40,1500;x;;
BC4;13,3040;12,4970;12,0360;-58,7460;-64,4200;16,8200;-154,7960;;;;BC3:BC4;75,0000;x;;
BC5;12,0090;12,6370;12,0360;-125,0360;-64,2800;16,8200;-221,0860;;;;BC4:BC5;60,0000;x;;
BC6;6,3430;11,3820;13,4660;-158,5080;-65,5350;18,2500;-254,5580;;;;BC5:S;20,5000;x;;
BC7;16,6120;126,2040;14,9590;26,1880;49,2870;19,7430;-69,8620;;;;BC1,2:BC7;57,0000;x;;
BC8;12,9660;158,6030;11,7840;7,5820;81,6860;16,5680;-88,4680;;;;BC7:BC8;40,1500;x;;
BC9;13,3040;159,2370;12,0360;-58,7460;82,3200;16,8200;-154,7960;;;;BC8:BC9;75,0000;x;;
BC10;12,0090;159,0970;12,0360;-125,0360;82,1800;16,8200;-221,0860;;;;BC9:BC10;60,0000;x;;
BC11;6,3430;160,3520;13,4660;-158,5080;83,4350;18,2500;-254,5580;;;;BC10:BC11;20,5000;x;;
Rock 5b;93,8430;98,4950;17,7690;79,9990;21,5780;22,5530;-16,0510;;;;;;;;
IMU;;76,9170;-4,7840;96,0500;0,0000;0,0000;0,0000;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
